"nid","condition","username","animal","animal_sig","scientific","animal_wri","animal_cat","animal_gro","confidence","observatio","created_da","time_since","latitude","longitude","salvage","road_type","roadside_f","speed_limi","travel_fre","carcass_po","incorrect_","observer","CROSv1_NID","input_meth","review_sta","verificati","verifica_1","Image","chips_Code","chips_Numb","chips_Date","chips_Crea","chips_Area","chips_Type","chips_Stre","chips_Loca","chips_Lati","chips_Long","chips_Mark","chips_Anim","chips_Conf","chips_Nu_1","chips_Age","chips_Casc","chips_An_1","chips_Driv","chips_Nu_2","chips_Attr","chips_Note","chips_Deta","ROUTE_NUMB","AADT","StreetImageryDate","MedianType","SecondaryAttribute","MedianWidth","RoadsideBarrier","MedianNotes"
51842,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-04-06 01:45:00,"2019/04/06 02:24:00.000","definitely less than 3 hours",39.785994,-120.546276,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",77219,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median","intersection",NA,"cable","t-junction, no break in median"
49070,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-10-02 10:30:00,"2017/10/02 10:47:00.000","definitely less than 12 hours",39.786379,-120.631084,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",71933,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","intersection",NA,NA,"t-junction, no break in median"
47939,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-03-18 06:15:00,"2017/03/18 06:54:00.000","definitely less than 6 hours",39.789808,-120.538988,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",69724,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
48457,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","somewhat confident",2017-07-01 01:45:00,"2017/07/01 04:01:00.000","definitely less than 6 hours",39.790666,-120.635805,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",70908,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,NA,NA
84053,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-09-23 15:45:00,"2020/09/23 18:05:00.000","definitely less than 12 hours",39.793723995,-120.531192853,"No","state / rural highway",NA,"55 mph","several times per month","road shoulder",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
62631,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-01-23 08:45:00,"2020/01/23 16:53:00.000","definitely less than 3 hours",39.7947049692,-120.529171605,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
50334,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-05-29 03:45:00,"2018/05/30 06:33:00.000","definitely less than 6 hours",39.795429,-120.639405,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",74161,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
47714,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-01-13 09:00:00,"2017/01/14 00:59:00.000","definitely less than 6 hours",39.797458,-120.642242,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",69341,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,NA,NA
86556,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2021-04-18 12:45:00,"2021/04/18 13:47:00.000","definitely less than 6 hours",39.7998249745,-120.645221364,"No","state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,"/california/sites/default/files/styles/thumbnail/public/images/observations/2021/04/P1000737.JPG?itok=X6OdhHPs",0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,NA,NA
59096,"Dead","ravenamstutz","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-11-18 05:45:00,"2017/11/18 06:51:00.000","definitely less than 6 hours",39.801349,-120.647392,NA,"state / rural highway",NA,"55 mph","monthly","road shoulder",NA,"Gary Rotta",72661,NA,"not reviewed","not verified",NA,"/california/sites/default/files/styles/thumbnail/public/images/observations/2019/04/P1010484.JPG?itok=Ch03hwHg",0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,NA,NA
49465,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-11-18 05:30:00,"2017/11/18 06:41:00.000","definitely less than 6 hours",39.803327,-120.514183,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",72660,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,"tall fence",NA
47718,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-01-16 02:00:00,"2017/01/16 11:14:00.000","definitely less than 6 hours",39.804316,-120.650311,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",69359,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","intersection",NA,"thrie beam","t-junction, no break in median"
48606,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-07-15 02:45:00,"2017/07/20 23:31:00.000","definitely less than 6 hours",39.80491,-120.506973,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",71124,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,"other fence",NA
51733,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-03-13 07:30:00,"2019/03/13 09:37:00.000","definitely less than 6 hours",39.805101,-120.506077,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",77060,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,"short fence",NA
47719,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-01-16 02:15:00,"2017/01/16 11:17:00.000","definitely less than 6 hours",39.805107,-120.50766,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",69360,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,"cable",NA
62379,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-12-18 15:00:00,"2019/12/18 19:23:00.000","definitely less than 12 hours",39.8064261173,-120.476541827,"No","state / rural highway",NA,"45 mph","several times per quarter","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,6250,2022-10-01,"no median",NA,NA,"thrie beam",NA
47858,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-02-19 09:00:00,"2017/02/19 16:09:00.000","definitely less than 12 hours",39.808338,-120.495129,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",69593,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
62055,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels",NA,2019-11-16 13:45:00,"2019/11/16 15:08:00.000","definitely less than 12 hours",39.8090305456,-120.473642595,"No","state / rural highway",NA,"40 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,6250,2022-10-01,"no median",NA,NA,"other fence","urban area"
51226,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-11-02 03:30:00,"2018/11/02 11:33:00.000","definitely less than 24 hours",39.81139,-120.653096,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",76206,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
61467,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-09-25 18:11:00,"2019/09/25 20:35:00.000","definitely less than 6 hours",39.81233539,-120.653114907,NA,"state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
51732,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-03-13 02:00:00,"2019/03/13 09:27:00.000","definitely less than 3 hours",39.812405,-120.653148,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",77057,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
81056,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-04-10 11:30:00,"2020/04/10 12:42:00.000","definitely less than 3 hours",39.8124919747,-120.463572087,"No","state / rural highway",NA,"45 mph","monthly","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5850,2022-10-01,"no median","intersection",NA,NA,"t-junction, no break in median"
81176,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-04-20 12:00:00,"2020/04/20 15:51:00.000","definitely less than 6 hours",39.8146223153,-120.654761649,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,NA,NA
50045,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-03-26 09:00:00,"2018/03/26 09:38:00.000","definitely less than 12 hours",39.815216,-120.655718,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",73546,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
50081,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-04-08 02:00:00,"2018/04/09 07:52:00.000","definitely less than 6 hours",39.817711,-120.452342,NA,"state / rural highway",NA,"65 mph","monthly","road surface",NA,"Gary Rotta",73626,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,4050,2022-10-01,"no median",NA,NA,"tall fence",NA
61524,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-10-01 09:44:00,"2019/10/02 07:47:00.000","definitely less than 3 hours",39.8190640896,-120.66280828,NA,"state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,"thrie beam",NA
62053,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-11-16 09:45:00,"2019/11/16 15:00:00.000","definitely less than 3 hours",39.8191382541,-120.662931854,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,"thrie beam",NA
50688,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","somewhat confident",2018-08-07 05:45:00,"2018/08/07 07:30:00.000","definitely less than 6 hours",39.819701,-120.449016,NA,"state / rural highway",NA,"65 mph","monthly","road surface",NA,"Gary Rotta",75149,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,4050,2022-10-01,"no median",NA,NA,"thrie beam",NA
47090,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2016-09-26 09:00:00,"2016/09/27 00:48:00.000","definitely less than 6 hours",39.820996,-120.445518,NA,"state / rural highway",NA,"65 mph","monthly","road surface",NA,"Gary Rotta",68216,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,4050,2022-10-01,"no median",NA,NA,"thrie beam",NA
87563,"Dead","Anonymous","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2021-11-08 15:00:00,"2021/11/08 15:09:00.000","definitely less than 12 hours",39.8210129408,-120.445290473,"No","state / rural highway","no artificial structures","65 mph","several times per month","center-divide / median",NA,"Brianne Turner",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,4050,2022-10-01,"no median",NA,NA,"thrie beam",NA
49024,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-09-27 06:15:00,"2017/09/27 07:19:00.000","definitely less than 12 hours",39.822183,-120.432301,NA,"state / rural highway",NA,"65 mph","weekly","road surface",NA,"Gary Rotta",71850,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,4050,2022-10-01,"no median",NA,NA,"thrie beam",NA
48432,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-06-29 02:30:00,"2017/06/29 10:19:00.000","definitely less than 6 hours",39.823403,-120.664816,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",70875,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
47431,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2016-11-02 08:00:00,"2016/11/03 02:15:00.000","definitely less than 12 hours",39.825413,-120.66576,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",68806,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
47960,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-03-23 02:00:00,"2017/03/23 08:25:00.000","definitely less than 6 hours",39.828643,-120.668163,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",69759,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
51225,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-11-02 03:15:00,"2018/11/02 11:30:00.000","definitely less than 24 hours",39.829705,-120.669346,NA,"state / rural highway",NA,"55 mph","monthly","road shoulder",NA,"Gary Rotta",76205,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
62546,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-01-13 10:15:00,"2020/01/13 15:44:00.000","definitely less than 6 hours",39.8392750691,-120.677501871,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median","pull-out",NA,"tall fence",NA
61313,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-09-11 17:58:00,"2019/09/11 19:36:00.000","definitely less than 12 hours",39.8417711615,-120.678263241,NA,"state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,"thrie beam",NA
61325,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-09-12 16:16:00,"2019/09/13 09:07:00.000","definitely less than 6 hours",39.8519934842,-120.683262948,NA,"state / rural highway",NA,"55 mph","several times per month",NA,NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
